"V1 ""V2"""
1 6641618 174
2 7858854 81
3 9742460 18
4 45052656 98
5 1252716 2
6 34575393 33
7 24507 9
8 7859423 93
9 6521996 28
10 8307253 19
11 57084287 6
12 245 199
13 705840 199
14 757550 199
15 786502 199
16 789176 199
17 788430 199
18 791877 199
19 821055 199
20 855368 199
21 878144 199
22 900807 199
23 920178 199
24 939200 199
25 955410 199
26 968634 199
27 977423 199
28 981735 199
29 991341 199
30 1036404 199
31 597627 199
32 7207357 33
33 3280 117
34 3306 117
35 3313 117
36 3340 117
37 3363 117
38 3794 117
39 3805 117
40 3920 117
41 3891 117
42 3888 117
43 3867 117
44 3830 117
45 3803 117
46 3762 302
47 3721 302
48 3686 302
49 3636 302
50 3571 302
51 3527 302
52 3487 302
53 3440 302
54 3373 302
55 3351 302
56 3332 302
57 3319 302
58 3305 302
59 3285 302
60 3255 302
61 3160 282
62 3160 282
63 3150 297
64 176880 1181
65 94010 37
66 3160 31
67 3149 31
68 4606164 4
69 4639997 4
70 4680901 4
71 4736932 4
72 4798985 4
73 4857897 4
74 4919997 4
75 4985592 5
76 5051015 5
77 5108804 5
78 4606164 26
79 4639997 26
80 4680901 26
81 4736932 26
82 4798985 26
83 4857897 26
84 4919997 26
85 4985592 23
86 5051015 23
87 5108804 25
88 5165537 25
89 5213721 25
90 5258067 25
91 5295382 25
92 5327964 25
93 5367273 25
94 5390937 25
95 85405143 5
96 134337565 42
97 134337565 5
98 8307253 2
99 11942426 21
100 6366939 16
101 39201832 3
102 286992354 4
103 3199363 20
104 3210957 20
105 3234004 20
106 3256038 20
107 3282270 20
108 3371691 20
109 3413593 20
110 4006651 19
111 4093509 19
112 4137696 20
113 4196042 20
114 4267913 21
115 4324271 20
116 4382402 19
117 4456804 19
118 4611158 20
119 4650393 20
120 4694683 20
121 4741288 20
122 4783017 20
123 4803857 20
124 3937369 17
125 3986310 18
126 4044816 18
127 4108644 19
128 4173622 17
129 4232465 15
130 4291758 15
131 4338327 14
132 4380226 14
133 4418279 14
134 4457228 14
135 7941502 48
136 117449116 7
137 186436940 3
138 8235188 207
139 786502 199
140 789176 199
141 788430 199
142 791877 199
143 821055 199
144 855368 199
145 878144 199
146 900807 199
147 920178 199
148 939200 199
149 955410 199
150 968634 199
151 977423 199
152 981735 199
153 991341 199
154 1036404 199
155 597627 199
156 6588177 120
157 17822113 10
158 33691942 12
159 7473556 44
160 74624 10
161 8307253 80
162 4445170 3
163 4478328 3
164 4503244 3
165 4523877 3
166 4552059 3
167 4577268 3
168 4606164 4
169 4639997 4
170 4680901 4
171 4736932 4
172 4798985 4
173 4857897 1
174 4919997 4
175 4985592 4
176 5051015 4
177 5108804 4
178 5165537 4
179 5213721 4
180 5258067 4
181 5295382 4
182 919581 52
183 19679465 14
