names
1 Alder1
2 Alder
3 Ansattnr
4 Antall Bestatt
5 Antall Tellende
6 Arstall1
7 Arstall
8 Arstall Nsdrapportert
9 Artermin1
10 Artermin
11 Campuskode1
12 Campuskode
13 Campusnavn
14 Dsp Id
15 Emnekode
16 Emnenavn Bokmal
17 Emnetypekode
18 Emne
19 Erasmusnivakode1
20 Erasmusnivakode
21 Fagkode
22 Fagnavn Norsk
23 FAG
24 Faknr1
25 Faknr
26 Fakultet1
27 Fakultet
28 Fak Akronym1
29 Fak Akronym
30 Fak Navn1
31 Fak Navn
32 Finansiering
33 Finanskatkode
34 Finanstypekode
35 Fodselsar
36 Fylkesnavn
37 Fylkesnavn Hjemsted
38 Gsk Beregnet
39 Institusjonsnavn Samarbeid
40 Institusjonsnr
41 Institusjonsnr Eier
42 Institusjonsnr Samarbeid
43 Institusjonsnr Undervisning
44 Institutt1
45 Instituttnr1
46 Instituttnr
47 Institutt
48 Int Akronym1
49 Int Akronym
50 Kandidatlopenr
51 Karakternavn
52 Karaktertall
53 Karaktertall Del1
54 Karaktertall Del2
55 Karaktertall Del3
56 Karaktertall Dv
57 Karaktertall Original
58 Karregelkode
59 Kjonn
60 Kommislopenr
61 Kommunenavn
62 Kommunenavn Hjemsted
63 Kvalgrunnlagkode Genstudkomp
64 Kvalgrunnlagkode Teknisk Fagsk
65 Landnavn Engelsk1
66 Landnavn Engelsk
67 Landnavn Engelsk Hjemland
68 Landnavn Norsk Hjemland
69 Landnr1
70 Landnr
71 Landnr Hjemland
72 Landnr Vdg Opplaring
73 Nsdniva1
74 Nsdnivakode1
75 Nsdnivakode
76 Nsdniva
77 Nsd Gruppe Bsk1
78 Nsd Gruppe Bsk
79 Nsd Kode Bsk1
80 Nsd Kode Bsk
81 Nuskode1
82 Nuskode
83 Ny Gjentak
84 Number of Records
85 Oblig
86 Parti
87 Personlopenr
88 Person Lopenr Dv
89 Poeng Tilbakemelding
90 Postnr Hjemsted
91 Prosenttall Egenfinans
92 Prosenttall Heltidandel
93 Resultatkode Bio12
94 Resultatkode Bio1
95 Resultatkode Fys12
96 Resultatkode Fys1
97 Resultatkode Geo12
98 Resultatkode Gsk
99 Resultatkode Iko
100 Resultatkode Info12
101 Resultatkode Kje12
102 Resultatkode Kje1
103 Resultatkode Kok
104 Resultatkode Ntk
105 Resultatkode Pfeng
106 Resultatkode Pfmat
107 Resultatkode R1M
108 Resultatkode R1R2M
109 Resultatkode R1R2
110 Resultatkode R2
111 Resultatkode S1S2
112 Resultatkode Sa1
113 Resultatkode Tek12
114 Resultattall Ffeng
115 Resultattall Ffmat
116 Resultattall Kar
117 Resultattall Norh
118 Resultattall Norsk
119 Resultattall R24
120 Resultattall Rea
121 Resultattall Spr
122 Sem Id1
123 Sem Id
124 Snittkarakter Fs
125 Snittkarakter Nvb
126 Spoeng Individuell
127 Spoeng Redusert
128 Spoeng Red Tid
129 Spr Emn Id
130 Ssbalder1
131 Ssbalder
132 Status Er Hovedoppgave
133 Status Gyldig
134 Status Manuelt Ugyldig
135 Sted1
136 Sted
137 Sted Kategori1
138 Sted Kategori
139 Ste Kode1
140 Ste Kode
141 Studentgrunnlagkode
142 Studentkategori
143 Studentnr Tildelt
144 Studiearnavn1
145 Studiearnavn
146 Studieniva1
147 Studienivakode1
148 Studienivakode
149 Studienivanavn1
150 Studienivanavn
151 Studieniva
152 Studiepoeng
153 Studieprognavn
154 Studieprogramkode
155 Studieprogramkode Rapportering
156 Studieprogram
157 Studieretningkode
158 Studieretningnavn Bokmal
159 Studieretning
160 Studiumkode
161 Studiumnavn
162 Studium
163 Terminkode1
164 Terminkode
165 Undpraksistypekode
166 Utvinn Institusjonsnavn Ekst
167 Utvinn Institusjonsnr Ekst
168 Utvinn Landnavn Engelsk Ekst
169 Utvut Arstall Nsdrapportert
170 Utvut Oppholdtypekode
171 Utvut Terminkode Nsdrapportert
172 Utvut Utvekslingstatuskode
173 Utvut Utvpersonkatkode
174 Utvut Utvprogramkode
175 Utvut Varighet I Dager
176 Vektingstall
177 Vektingstall Individuell
178 Vektingstall Redusert
179 Vektingstall Timesort
180 Vekttypekode Individuell
181 Vekttypekode Redusert
182 Vekttypekode Timesort
183 Versjonskode
184 Vurderingsordning
185 Vurdkombkode
186 Vurdkombkode Del1
187 Vurdkombkode Del2
188 Vurdkombkode Del3
189 Vurdkomb
190 Vurdordningkode
191 Vurdordningnavn Bokmal
192 Vurdresstatkode
193 Vurdresstatkode Del1
194 Vurdresstatkode Del2
195 Vurdresstatkode Del3
196 Vurdresstatnavn Bokmal
197 Vurdresstatus
198 Vurdtidkode
199 w21_4952_lopenr_person
