SEX	ANTISOCS	MATERS	CONVENS	ANTISOCO	MATERO	CONVENO	AGE
0	1.44444441795349	3	4	1.33333337306976	3	4	10.0449771881104
0	1.22222220897675	2.66666674613953	3.59999990463257	2.88888883590698	4	2.79999995231628	12.7198629379272
1	1.11111116409302	2.66666674613953	2.40000009536743	1.44444441795349	3	2.59999990463257	12.56689453125
1	1.66666662693024	2.33333325386047	3	3	3.33333325386047	2.59999990463257	17.6952056884766
0	1.22222220897675	2	3.59999990463257	1.88888883590698	2.66666674613953	2.79999995231628	17.1283111572266
1	2.22222232818604	2.33333325386047	3.59999990463257	2.22222232818604	3.33333325386047	3.40000009536743	17.3059368133545
1	1.55555558204651	2.33333325386047	3.40000009536743	2.44444441795349	2.33333325386047	2.79999995231628	19.1842460632324
1	1.66666662693024	2.66666674613953	2.79999995231628	2	2.33333325386047	3	10.0230588912964
1	1.22222220897675	2.33333325386047	4	3	4	2	12.2006845474243
0	1.33333337306976	3	3.79999995231628	1.55555558204651	3.33333325386047	3.20000004768372	11.0093603134155
0	2.66666674613953	3.66666674613953	2.59999990463257	3	3.33333325386047	2.20000004768372	13.4139270782471
0	1.44444441795349	3.33333325386047	3.59999990463257	2.88888883590698	3.66666674613953	3.20000004768372	12.8059358596802
0	1	3	3.79999995231628	3.66666674613953	4	2.40000009536743	18.4139270782471
0	1.33333337306976	2	3.79999995231628	2.22222232818604	4	2.59999990463257	18.3810501098633
1	2.11111116409302	2.66666674613953	3	3.22222232818604	3.33333325386047	3.59999990463257	17.3344745635986
0	2.11111116409302	2.66666674613953	2.40000009536743	3.22222232818604	4	2.40000009536743	15.9260272979736
1	1.22222220897675	3	4	1.44444441795349	3	3.79999995231628	14.497260093689
1	1.88888883590698	3	3	2.33333325386047	3.33333325386047	3.40000009536743	15.7006845474243
1	1.66666662693024	2.66666674613953	3.20000004768372	3	3	2.59999990463257	13.1365299224854
1	2.33333325386047	3.33333325386047	3.20000004768372	2.88888883590698	3.66666674613953	2	18.0011425018311
1	2.55555558204651	2.33333325386047	2.79999995231628	3.55555558204651	3.33333325386047	2.40000009536743	17.6200904846191
0	1	3	3.79999995231628	1.55555558204651	3	2.79999995231628	18.7363014221191
1	1.22222220897675	2.33333325386047	3.20000004768372	3.22222232818604	2.66666674613953	2.59999990463257	16.0805931091309
1	1.77777779102325	2.66666674613953	3.59999990463257	2.11111116409302	3.66666674613953	3.59999990463257	10.0093603134155
0	1.11111116409302	3	3.20000004768372	2.44444441795349	3.33333325386047	2.79999995231628	10.4029684066772
1	1	2.66666674613953	3.79999995231628	2.22222232818604	3	2.59999990463257	12.1091327667236
1	1.22222220897675	4	3	1.88888883590698	3	2.79999995231628	10.6842470169067
1	1.77777779102325	3	3.20000004768372	2.33333325386047	3.66666674613953	3	13.4863014221191
1	2.33333325386047	2.66666674613953	3	2.11111116409302	2.66666674613953	2.79999995231628	16.7648410797119
1	1.66666662693024	3	3.20000004768372	1.88888883590698	3	2.59999990463257	17.9945201873779
1	2.22222232818604	2.66666674613953	3.20000004768372	2.66666674613953	3.33333325386047	3.59999990463257	17.2034244537354
1	1.11111116409302	2.33333325386047	3.20000004768372	1.88888883590698	4	3.40000009536743	14.6639270782471
0	1.66666662693024	2.66666674613953	3.79999995231628	2	2.33333325386047	3	10.9002285003662
1	1.55555558204651	2.66666674613953	4	1.22222220897675	2	4	10.9780826568604
1	1	2.66666674613953	4	2.66666674613953	3	2.20000004768372	10.9452056884766
0	2.66666674613953	4	3.59999990463257	1.88888883590698	3.33333325386047	4	12.0981731414795
0	1.44444441795349	2	3.79999995231628	2.22222232818604	3.33333325386047	3.40000009536743	19.1787662506104
0	1.77777779102325	3.66666674613953	3.20000004768372	2.44444441795349	3	2.40000009536743	17.1255702972412
1	1.88888883590698	2.66666674613953	3	2.11111116409302	3.33333325386047	3	16.7648410797119
0	1.33333337306976	3.66666674613953	4	2.11111116409302	2.66666674613953	2.59999990463257	13.1091327667236
1	1.44444441795349	2.66666674613953	2.40000009536743	2.77777767181397	2	2	17.1732883453369
0	2.66666674613953	3	2.79999995231628	3.77777767181397	2.66666674613953	2	16.1869869232178
0	1.11111116409302	2	3.40000009536743	2.44444441795349	3.33333325386047	2.40000009536743	18.4945201873779
1	1.33333337306976	2.33333325386047	3.59999990463257	2.33333325386047	2.66666674613953	3	17.7280826568604
1	1.44444441795349	3	3.40000009536743	1.77777779102325	3	2.59999990463257	14.1255712509155
1	1.44444441795349	3	3.40000009536743	1.44444441795349	3.33333325386047	3.20000004768372	13.7335615158081
0	1.33333337306976	3	3.79999995231628	2.44444441795349	2.66666674613953	2.79999995231628	10.158447265625
1	1.66666662693024	2.66666674613953	2.40000009536743	1.66666662693024	2	2	12.3344745635986
1	1.33333337306976	2.33333325386047	3.79999995231628	1	3	3.40000009536743	19.2566204071045
0	2.22222232818604	3.66666674613953	2.40000009536743	2.77777767181397	3	2	14.9643831253052
0	1.44444441795349	3.66666674613953	3	1.88888883590698	4	3	19.1091327667236
0	1.11111116409302	3.33333325386047	4	1.33333337306976	3.33333325386047	3.79999995231628	10.3004570007324
0	1.77777779102325	3	3.59999990463257	2.11111116409302	3.33333325386047	4	10
1	1.55555558204651	2	3.79999995231628	2	2	2.40000009536743	10.2171230316162
0	1.33333337306976	3.33333325386047	3.59999990463257	1.11111116409302	3.33333325386047	3.59999990463257	9.72260284423828
1	1.44444441795349	2	3.20000004768372	1.66666662693024	2	4	11
1	1.77777779102325	3	3.59999990463257	1.88888883590698	3.33333325386047	3.79999995231628	12.1337900161743
0	1.44444441795349	3	3.59999990463257	1.22222220897675	3.66666674613953	3.40000009536743	10.9260272979736
1	1.11111116409302	2.66666674613953	3.79999995231628	1.55555558204651	2	3.40000009536743	13.4205474853516
0	1.55555558204651	2	2.20000004768372	2.22222232818604	2	2	13.4232873916626
1	1.66666662693024	2.33333325386047	3.20000004768372	2.66666674613953	2.33333325386047	2	16.5038814544678
1	1.44444441795349	3.66666674613953	2.59999990463257	2.77777767181397	2.33333325386047	1.79999995231628	14.658447265625
0	1.22222220897675	2	3.20000004768372	1.66666662693024	3.33333325386047	2.20000004768372	19.2757987976074
1	1.44444441795349	3.33333325386047	3.59999990463257	2.66666674613953	3	2.40000009536743	14.1420087814331
1	1.66666662693024	2.66666674613953	3.40000009536743	2.88888883590698	3	2.59999990463257	13.819634437561
