    3.082023    1.075002    0.100000
    4.811037    0.234649    0.060000
    3.272025    0.433697    0.190000
    3.616028    0.071930    0.250000
    5.223373    1.120512    0.090000
    2.123016    0.512957    0.240000
    2.172350    0.646815    0.170000
    3.346692    0.387707    0.330000
    2.292351    0.760605    0.170000
    3.285692    0.153319    0.300000
    3.286025    0.734925    0.080000
    4.747703    0.560746    0.200000
    2.823355    0.882614    0.190000
    5.185373    0.183919    0.330000
    2.921355    0.391397    0.130000
    4.282032    0.615016    0.230000
    2.247350    0.677625    0.130000
    1.904348    0.872834    0.120000
    2.307018    0.489917    0.130000
    3.663361    0.425237    0.210000
    5.312707    0.417197    0.250000
