    3.082000    1.075000    0.100000
    4.811000    0.234700    0.060000
    3.272000    0.433700    0.190000
    3.616000    0.071900    0.250000
    5.223300    1.120500    0.090000
    2.123000    0.513000    0.240000
    2.172300    0.646800    0.170000
    3.346700    0.387700    0.330000
    2.292300    0.760600    0.170000
    3.285700    0.153300    0.300000
    3.286000    0.734900    0.080000
    4.747700    0.560800    0.200000
    2.823300    0.882600    0.190000
    5.185300    0.183900    0.330000
    2.921300    0.391400    0.130000
    4.282000    0.615000    0.230000
    2.247300    0.677600    0.130000
    1.904300    0.872800    0.120000
    2.307000    0.489900    0.130000
    3.663300    0.425200    0.210000
    5.312700    0.417200    0.250000
