    0.924600    1.916697    0.100000
    1.443300   -0.884304    0.060000
    0.981600   -0.220970    0.190000
    1.084800   -1.426970    0.250000
    1.566990    2.068363    0.090000
    0.636900    0.043363    0.240000
    0.651690    0.489363    0.170000
    1.004010   -0.374303    0.330000
    0.687690    0.868697    0.170000
    0.985710   -1.155637    0.300000
    0.985800    0.783030    0.080000
    1.424310    0.202697    0.200000
    0.846990    1.275363    0.190000
    1.555590   -1.053637    0.330000
    0.876390   -0.361970    0.130000
    1.284600    0.383363    0.230000
    0.674190    0.592030    0.130000
    0.571290    1.242697    0.120000
    0.692100   -0.033637    0.130000
    1.098990   -0.249303    0.210000
    1.593810   -0.275970    0.250000
