RID	ID
1059405	3789849
1059559	3847901
1127816	3858097
1139466	3891106
1243421	3892257
1244263	3892752
1330976	3894297
1343572	3894462
1377892	3896172
1508533	3913385
1509439	3919790
1639828	3921102
1657199	3921377
1796047	3922062
1803031	3923760
1826149	3925441
1845028	3932188
1902455	3937206
1911245	3942327
1914816	3945502
1944213	3945706
1977815	3948101
1983871	3954881
2011814	3997055
2027266	3998562
2087359	4001092
2089640	4001322
2132691	4001335
2209762	4005412
2282766	4005441
2336436	4011833
2384070	4012065
2393378	4012447
2515635	4020549
2516976	4020934
2547915	4022178
2577244	4023795
2587453	4025793
2735618	4029252
2746055	4032443
2809261	4037817
2809354	4040804
2827883	4045744
2855707	4046170
2877937	4051437
2893546	4052106
2933103	4062235
2955437	4065012
2972962	4065384
2993527	4077741
3026481	4077848
3032087	4080152
3034526	4081753
3114585	4082299
3162217	4090113
3200884	4090498
3203686	4090980
3212559	4091837
3239513	4091963
3252827	4092360
3255419	4093149
3256012	4093178
3367210	4094261
3409873	4096489
3441353	4096719
3456684	4096887
3504467	4101206
3541858	4103987
3571029	4106816
3621490	4107242
3632101	4107608
3659797	4107747
3688075	4107815
3728880	4108131
4076082	4108267
4150905	4108296
4164552	4111814
4181865	4112224
4182340	4113210
4192933	4113469
4195591	4113605
4209679	4113977
4234807	4117588
4456374	4117656
4542721	4118095
4573847	4118228
4672643	4119052
4728250	4120669
4730269	4121105
4884309	4121396
4894291	4121558
5014185	4121875
5014978	4121888
5041545	4121901
5046441	4122450
5054150	4122476
5105675	4122667
5118981	4122777
5210482	4125127
5285199	4125774
5285350	4130044
5318000	4133106
5391869	4134642
5404715	4136653
5456854	4147367
5493250	4147891
5506545	4148463
5693254	4148515
5760719	4148586
5841663	4148968
5842644	4149284
5968399	4155058
6078528	4157085
6087525	4158123
6154697	4159313
6223073	4162614
6227194	4162931
6269700	4163781
6270846	4166429
6311334	4166885
6404291	4168553
6477070	4168951
6515935	4169688
6516594	4169730
6530968	4172675
6560429	4172756
6675041	4172918
6821254	4176558
6931663	4178190
6947193	4180214
6977248	4180353
6990236	4181132
7013178	4181682
7073700	4182102
7095413	4182791
7134613	4183596
7184859	4185222
7210781	4185772
7231720	4185918
7247208	4185947
7320383	4186674
7332540	4187929
7390657	4189134
7414584	4190194
7417260	4191355
7497632	4191452
7551299	4191504
7569122	4194116
7573923	4195733
7617687	4196525
7663219	4196868
7716192	4200233
7833355	4200712
7947891	4201148
7978842	4203007
8011369	4203049
8033624	4216036
8041408	4219237
8137327	4226932
8173491	4227546
8201665	4228671
8222857	4235376
8228924	4247500
8233605	4247733
8242121	4248088
8289168	4252650
8323110	4254658
8334137	4255644
8338563	4255754
8351864	4255903
8419723	5242471
8625404	5452224
8745627	5455238
8748308	5459603
8805064	5461262
8861869	5466085
8872240	5548532
8911967	5618475
8958867	5664399
9049675	5732506
9128694	5736476
9131666	5740394
9142528	5741685
9216116	5745188
9269452	5745344
9309305	5745823
9416012	5749032
9418736	5754915
9470454	5765494
9477917	5768073
9531230	5856075
9608603	5878989
9643371	5896671
9838047	5916676
9841406	5920284
9852114	5959484
9870052	5962686
9887923	5983775
9908229	6067489
9960700	6145206
