par	b1	b2	b3	b4	b5
MATH	-4.797	-1.752	-0.135	1.162	3.044
ENGW	-4.823	-2.704	-0.892	1.021	3.153
NORW	-5.467	-2.776	-0.681	1.266	3.613
NATS	-5.486	-2.921	-1.121	0.413	2.461
RELI	-5.587	-3.177	-1.45	0.233	2.357
SOCS	-5.845	-3.344	-1.516	0.147	2.364
ENGO	-5.321	-3.321	-1.632	0.388	2.642
NORO	-6.111	-3.515	-1.494	0.321	2.652
MUSI	-6.11	-4.08	-2.319	-0.11	2.589
HAND	-6.238	-4.417	-2.382	-0.057	2.716
PHED	-6.022	-4.43	-2.882	-0.634	2.304
FOOD	-7.58	-5.217	-2.632	-0.242	2.517
