SE	b1	b2	b3	b4	b5
MATH	0.035	0.016	0.015	0.015	0.021
ENGW	0.041	0.02	0.015	0.014	0.021
NORW	0.051	0.019	0.014	0.015	0.024
NATS	0.052	0.021	0.015	0.014	0.017
RELI	0.063	0.024	0.016	0.014	0.017
SOCS	0.064	0.023	0.016	0.014	0.017
ENGO	0.055	0.024	0.016	0.014	0.018
NORO	0.076	0.024	0.016	0.014	0.018
MUSI	0.099	0.033	0.018	0.014	0.017
HAND	0.112	0.036	0.018	0.013	0.017
PHED	0.11	0.04	0.02	0.014	0.016
FOOD	0.257	0.048	0.018	0.013	0.017
