"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Ysub"	"RTsub"	"Ytot"	"RTtot"
4	"Male"	"NL"	21	"6"	0	0	NA	NA	NA	NA
5	"Male"	"NL"	1	"1"	0	125	1	250	12	680
5	"Male"	"NL"	2	"1"	1	37	4	330	12	680
5	"Male"	"NL"	3	"1"	0	35	2	100	12	680
5	"Male"	"NL"	4	"1"	0	53	2	0	12	680
5	"Male"	"NL"	5	"2"	1	212	3	0	12	680
5	"Male"	"NL"	6	"2"	1	50	0	0	12	680
5	"Male"	"NL"	7	"2"	1	30	NA	NA	NA	NA
5	"Male"	"NL"	8	"2"	1	38	NA	NA	NA	NA
5	"Male"	"NL"	9	"3"	0	48	NA	NA	NA	NA
5	"Male"	"NL"	10	"3"	1	23	NA	NA	NA	NA
5	"Male"	"NL"	11	"3"	0	15	NA	NA	NA	NA
5	"Male"	"NL"	12	"3"	1	14	NA	NA	NA	NA
5	"Male"	"NL"	13	"4"	0	0	NA	NA	NA	NA
5	"Male"	"NL"	14	"4"	1	0	NA	NA	NA	NA
5	"Male"	"NL"	15	"4"	0	0	NA	NA	NA	NA
5	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
5	"Male"	"NL"	17	"5"	1	0	NA	NA	NA	NA
5	"Male"	"NL"	18	"5"	0	0	NA	NA	NA	NA
5	"Male"	"NL"	19	"5"	1	0	NA	NA	NA	NA
5	"Male"	"NL"	20	"5"	1	0	NA	NA	NA	NA
5	"Male"	"NL"	21	"6"	0	0	NA	NA	NA	NA
6	"Male"	"FR"	1	"1"	0	40	0	138	8	703
6	"Male"	"FR"	2	"1"	0	27	3	168	8	703
6	"Male"	"FR"	3	"1"	0	25	2	105	8	703
6	"Male"	"FR"	4	"1"	0	46	2	215	8	703
6	"Male"	"FR"	5	"2"	0	79	1	77	8	703
6	"Male"	"FR"	6	"2"	1	25	0	0	8	703
6	"Male"	"FR"	7	"2"	1	28	NA	NA	NA	NA
6	"Male"	"FR"	8	"2"	1	36	NA	NA	NA	NA
6	"Male"	"FR"	9	"3"	0	38	NA	NA	NA	NA
6	"Male"	"FR"	10	"3"	1	18	NA	NA	NA	NA
6	"Male"	"FR"	11	"3"	0	16	NA	NA	NA	NA
6	"Male"	"FR"	12	"3"	1	33	NA	NA	NA	NA
6	"Male"	"FR"	13	"4"	0	51	NA	NA	NA	NA
6	"Male"	"FR"	14	"4"	1	33	NA	NA	NA	NA
6	"Male"	"FR"	15	"4"	0	63	NA	NA	NA	NA
6	"Male"	"FR"	16	"4"	1	68	NA	NA	NA	NA
6	"Male"	"FR"	17	"5"	1	0	NA	NA	NA	NA
