"ID" "IDproblem" "Language" "Gender" "Item" "Y" "RT" "problem" "Y.sub" "RT.sub" "Y.tot" "RT.tot"
"84" 4 46 "NL" "M" 21 NA NA 6 NA NA 14 646
"85" 5 51 "NL" "M" 1 0 125 1 1 250 7 680
"86" 5 51 "NL" "M" 2 1 37 1 1 250 7 680
"87" 5 51 "NL" "M" 3 0 35 1 1 250 7 680
"88" 5 51 "NL" "M" 4 0 53 1 1 250 7 680
"89" 5 52 "NL" "M" 5 1 212 2 4 330 7 680
"90" 5 52 "NL" "M" 6 1 50 2 4 330 7 680
"91" 5 52 "NL" "M" 7 1 30 2 4 330 7 680
"92" 5 52 "NL" "M" 8 1 38 2 4 330 7 680
"93" 5 53 "NL" "M" 9 0 48 3 2 100 7 680
"94" 5 53 "NL" "M" 10 1 23 3 2 100 7 680
"95" 5 53 "NL" "M" 11 0 15 3 2 100 7 680
"96" 5 53 "NL" "M" 12 1 14 3 2 100 7 680
"97" 5 54 "NL" "M" 13 NA NA 4 NA NA 7 680
"98" 5 54 "NL" "M" 14 NA NA 4 NA NA 7 680
"99" 5 54 "NL" "M" 15 NA NA 4 NA NA 7 680
"100" 5 54 "NL" "M" 16 NA NA 4 NA NA 7 680
"101" 5 55 "NL" "M" 17 NA NA 5 NA NA 7 680
"102" 5 55 "NL" "M" 18 NA NA 5 NA NA 7 680
"103" 5 55 "NL" "M" 19 NA NA 5 NA NA 7 680
"104" 5 55 "NL" "M" 20 NA NA 5 NA NA 7 680
"105" 5 56 "NL" "M" 21 NA NA 6 NA NA 7 680
"106" 6 61 "FR" "M" 1 0 40 1 0 138 7 703
"107" 6 61 "FR" "M" 2 0 27 1 0 138 7 703
"108" 6 61 "FR" "M" 3 0 25 1 0 138 7 703
"109" 6 61 "FR" "M" 4 0 46 1 0 138 7 703
"110" 6 62 "FR" "M" 5 0 79 2 3 168 7 703
"111" 6 62 "FR" "M" 6 1 25 2 3 168 7 703
"112" 6 62 "FR" "M" 7 1 28 2 3 168 7 703
"113" 6 62 "FR" "M" 8 1 36 2 3 168 7 703
"114" 6 63 "FR" "M" 9 0 38 3 2 105 7 703
"115" 6 63 "FR" "M" 10 1 18 3 2 105 7 703
"116" 6 63 "FR" "M" 11 0 16 3 2 105 7 703
"117" 6 63 "FR" "M" 12 1 33 3 2 105 7 703
"118" 6 64 "FR" "M" 13 0 51 4 2 215 7 703
"119" 6 64 "FR" "M" 14 1 33 4 2 215 7 703
"120" 6 64 "FR" "M" 15 0 63 4 2 215 7 703
"121" 6 64 "FR" "M" 16 1 68 4 2 215 7 703
"122" 6 65 "FR" "M" 17 NA NA 5 0 77 7 703
"123" 6 65 "FR" "M" 18 0 18 5 0 77 7 703
"124" 6 65 "FR" "M" 19 0 59 5 0 77 7 703
"125" 6 65 "FR" "M" 20 NA NA 5 0 77 7 703
"126" 6 66 "FR" "M" 21 NA NA 6 NA NA 7 703
"127" 7 71 "FR" "F" 1 0 149 1 1 299 8 796
"128" 7 71 "FR" "F" 2 1 92 1 1 299 8 796
"129" 7 71 "FR" "F" 3 0 27 1 1 299 8 796
"130" 7 71 "FR" "F" 4 0 31 1 1 299 8 796
"131" 7 72 "FR" "F" 5 1 129 2 4 311 8 796
"132" 7 72 "FR" "F" 6 1 33 2 4 311 8 796
"133" 7 72 "FR" "F" 7 1 39 2 4 311 8 796
"134" 7 72 "FR" "F" 8 1 110 2 4 311 8 796
"135" 7 73 "FR" "F" 9 1 102 3 3 186 8 796
"136" 7 73 "FR" "F" 10 1 65 3 3 186 8 796
"137" 7 73 "FR" "F" 11 0 11 3 3 186 8 796
"138" 7 73 "FR" "F" 12 1 8 3 3 186 8 796
"139" 7 74 "FR" "F" 13 NA NA 4 NA NA 8 796
"140" 7 74 "FR" "F" 14 NA NA 4 NA NA 8 796
"141" 7 74 "FR" "F" 15 NA NA 4 NA NA 8 796
"142" 7 74 "FR" "F" 16 NA NA 4 NA NA 8 796
"143" 7 75 "FR" "F" 17 NA NA 5 NA NA 8 796
"144" 7 75 "FR" "F" 18 NA NA 5 NA NA 8 796
"145" 7 75 "FR" "F" 19 NA NA 5 NA NA 8 796
"146" 7 75 "FR" "F" 20 NA NA 5 NA NA 8 796
"147" 7 76 "FR" "F" 21 NA NA 6 NA NA 8 796
"148" 8 81 "NL" "U" 1 0 67 1 1 178 10 526
"149" 8 81 "NL" "U" 2 1 37 1 1 178 10 526
"150" 8 81 "NL" "U" 3 0 42 1 1 178 10 526
"151" 8 81 "NL" "U" 4 0 32 1 1 178 10 526
"152" 8 82 "NL" "U" 5 0 74 2 3 156 10 526
"153" 8 82 "NL" "U" 6 1 36 2 3 156 10 526
"154" 8 82 "NL" "U" 7 1 29 2 3 156 10 526
"155" 8 82 "NL" "U" 8 1 17 2 3 156 10 526
"156" 8 83 "NL" "U" 9 1 24 3 3 69 10 526
"157" 8 83 "NL" "U" 10 1 14 3 3 69 10 526
"158" 8 83 "NL" "U" 11 0 19 3 3 69 10 526
"159" 8 83 "NL" "U" 12 1 12 3 3 69 10 526
"160" 8 84 "NL" "U" 13 1 49 4 3 123 10 526
"161" 8 84 "NL" "U" 14 1 33 4 3 123 10 526
"162" 8 84 "NL" "U" 15 0 23 4 3 123 10 526
"163" 8 84 "NL" "U" 16 1 18 4 3 123 10 526
"164" 8 85 "NL" "U" 17 NA NA 5 NA NA 10 526
"165" 8 85 "NL" "U" 18 NA NA 5 NA NA 10 526
"166" 8 85 "NL" "U" 19 NA NA 5 NA NA 10 526
"167" 8 85 "NL" "U" 20 NA NA 5 NA NA 10 526
"168" 8 86 "NL" "U" 21 NA NA 6 NA NA 10 526
"169" 9 91 "NL" "M" 1 0 205 1 1 418 6 886
"170" 9 91 "NL" "M" 2 1 107 1 1 418 6 886
"171" 9 91 "NL" "M" 3 0 27 1 1 418 6 886
"172" 9 91 "NL" "M" 4 0 79 1 1 418 6 886
"173" 9 92 "NL" "M" 5 0 136 2 2 298 6 886
"174" 9 92 "NL" "M" 6 0 64 2 2 298 6 886
"175" 9 92 "NL" "M" 7 1 60 2 2 298 6 886
"176" 9 92 "NL" "M" 8 1 38 2 2 298 6 886
"177" 9 93 "NL" "M" 9 1 60 3 3 170 6 886
"178" 9 93 "NL" "M" 10 1 24 3 3 170 6 886
"179" 9 93 "NL" "M" 11 0 51 3 3 170 6 886
"180" 9 93 "NL" "M" 12 1 35 3 3 170 6 886
"181" 9 94 "NL" "M" 13 NA NA 4 NA NA 6 886
"182" 9 94 "NL" "M" 14 NA NA 4 NA NA 6 886
"183" 9 94 "NL" "M" 15 NA NA 4 NA NA 6 886
"184" 9 94 "NL" "M" 16 NA NA 4 NA NA 6 886
"185" 9 95 "NL" "M" 17 NA NA 5 NA NA 6 886
"186" 9 95 "NL" "M" 18 NA NA 5 NA NA 6 886
"187" 9 95 "NL" "M" 19 NA NA 5 NA NA 6 886
"188" 9 95 "NL" "M" 20 NA NA 5 NA NA 6 886
"189" 9 96 "NL" "M" 21 NA NA 6 NA NA 6 886
"190" 10 101 "NL" "M" 1 0 103 1 1 217 2 594
"191" 10 101 "NL" "M" 2 1 35 1 1 217 2 594
"192" 10 101 "NL" "M" 3 0 26 1 1 217 2 594
"193" 10 101 "NL" "M" 4 0 53 1 1 217 2 594
"194" 10 102 "NL" "M" 5 0 130 2 1 227 2 594
"195" 10 102 "NL" "M" 6 0 18 2 1 227 2 594
"196" 10 102 "NL" "M" 7 1 15 2 1 227 2 594
"197" 10 102 "NL" "M" 8 0 64 2 1 227 2 594
"198" 10 103 "NL" "M" 9 0 72 3 0 150 2 594
"199" 10 103 "NL" "M" 10 0 22 3 0 150 2 594
"200" 10 103 "NL" "M" 11 0 24 3 0 150 2 594
"201" 10 103 "NL" "M" 12 0 32 3 0 150 2 594
"202" 10 104 "NL" "M" 13 NA NA 4 NA NA 2 594
"203" 10 104 "NL" "M" 14 NA NA 4 NA NA 2 594
"204" 10 104 "NL" "M" 15 NA NA 4 NA NA 2 594
"205" 10 104 "NL" "M" 16 NA NA 4 NA NA 2 594
"206" 10 105 "NL" "M" 17 NA NA 5 NA NA 2 594
"207" 10 105 "NL" "M" 18 NA NA 5 NA NA 2 594
"208" 10 105 "NL" "M" 19 NA NA 5 NA NA 2 594
"209" 10 105 "NL" "M" 20 NA NA 5 NA NA 2 594
"210" 10 106 "NL" "M" 21 NA NA 6 NA NA 2 594
"211" 11 111 "NL" "U" 1 0 84 1 2 214 11 848
"212" 11 111 "NL" "U" 2 1 40 1 2 214 11 848
"213" 11 111 "NL" "U" 3 1 12 1 2 214 11 848
"214" 11 111 "NL" "U" 4 0 78 1 2 214 11 848
"215" 11 112 "NL" "U" 5 0 45 2 1 134 11 848
"216" 11 112 "NL" "U" 6 0 36 2 1 134 11 848
"217" 11 112 "NL" "U" 7 1 21 2 1 134 11 848
"218" 11 112 "NL" "U" 8 0 32 2 1 134 11 848
"219" 11 113 "NL" "U" 9 1 48 3 3 100 11 848
"220" 11 113 "NL" "U" 10 1 15 3 3 100 11 848
"221" 11 113 "NL" "U" 11 0 25 3 3 100 11 848
"222" 11 113 "NL" "U" 12 1 12 3 3 100 11 848
"223" 11 114 "NL" "U" 13 1 59 4 2 128 11 848
"224" 11 114 "NL" "U" 14 1 10 4 2 128 11 848
"225" 11 114 "NL" "U" 15 0 30 4 2 128 11 848
"226" 11 114 "NL" "U" 16 0 29 4 2 128 11 848
"227" 11 115 "NL" "U" 17 1 70 5 3 272 11 848
"228" 11 115 "NL" "U" 18 1 95 5 3 272 11 848
"229" 11 115 "NL" "U" 19 0 78 5 3 272 11 848
"230" 11 115 "NL" "U" 20 1 29 5 3 272 11 848
"231" 11 116 "NL" "U" 21 NA NA 6 NA NA 11 848
"232" 12 121 "NL" "F" 1 0 90 1 1 165 9 585
"233" 12 121 "NL" "F" 2 1 30 1 1 165 9 585
"234" 12 121 "NL" "F" 3 0 16 1 1 165 9 585
"235" 12 121 "NL" "F" 4 0 29 1 1 165 9 585
"236" 12 122 "NL" "F" 5 0 32 2 2 120 9 585
"237" 12 122 "NL" "F" 6 1 58 2 2 120 9 585
"238" 12 122 "NL" "F" 7 1 21 2 2 120 9 585
"239" 12 122 "NL" "F" 8 0 9 2 2 120 9 585
"240" 12 123 "NL" "F" 9 0 17 3 1 115 9 585
"241" 12 123 "NL" "F" 10 1 53 3 1 115 9 585
"242" 12 123 "NL" "F" 11 0 15 3 1 115 9 585
"243" 12 123 "NL" "F" 12 0 30 3 1 115 9 585
"244" 12 124 "NL" "F" 13 1 50 4 3 103 9 585
"245" 12 124 "NL" "F" 14 1 25 4 3 103 9 585
"246" 12 124 "NL" "F" 15 0 15 4 3 103 9 585
"247" 12 124 "NL" "F" 16 1 13 4 3 103 9 585
"248" 12 125 "NL" "F" 17 0 15 5 2 68 9 585
"249" 12 125 "NL" "F" 18 1 18 5 2 68 9 585
"250" 12 125 "NL" "F" 19 0 23 5 2 68 9 585
"251" 12 125 "NL" "F" 20 1 12 5 2 68 9 585
"252" 12 126 "NL" "F" 21 0 14 6 0 14 9 585
"253" 13 131 "FR" "F" 1 0 135 1 2 381 9 1117
"254" 13 131 "FR" "F" 2 1 120 1 2 381 9 1117
"255" 13 131 "FR" "F" 3 1 63 1 2 381 9 1117
"256" 13 131 "FR" "F" 4 0 63 1 2 381 9 1117
"257" 13 132 "FR" "F" 5 1 73 2 4 385 9 1117
"258" 13 132 "FR" "F" 6 1 65 2 4 385 9 1117
"259" 13 132 "FR" "F" 7 1 62 2 4 385 9 1117
"260" 13 132 "FR" "F" 8 1 185 2 4 385 9 1117
"261" 13 133 "FR" "F" 9 1 127 3 3 351 9 1117
"262" 13 133 "FR" "F" 10 1 108 3 3 351 9 1117
"263" 13 133 "FR" "F" 11 0 83 3 3 351 9 1117
"264" 13 133 "FR" "F" 12 1 33 3 3 351 9 1117
"265" 13 134 "FR" "F" 13 NA NA 4 NA NA 9 1117
"266" 13 134 "FR" "F" 14 NA NA 4 NA NA 9 1117
"267" 13 134 "FR" "F" 15 NA NA 4 NA NA 9 1117
"268" 13 134 "FR" "F" 16 NA NA 4 NA NA 9 1117
"269" 13 135 "FR" "F" 17 NA NA 5 NA NA 9 1117
"270" 13 135 "FR" "F" 18 NA NA 5 NA NA 9 1117
"271" 13 135 "FR" "F" 19 NA NA 5 NA NA 9 1117
"272" 13 135 "FR" "F" 20 NA NA 5 NA NA 9 1117
"273" 13 136 "FR" "F" 21 NA NA 6 NA NA 9 1117
"274" 14 141 "NL" "M" 1 1 101 1 3 169 12 610
"275" 14 141 "NL" "M" 2 1 23 1 3 169 12 610
"276" 14 141 "NL" "M" 3 1 26 1 3 169 12 610
"277" 14 141 "NL" "M" 4 0 19 1 3 169 12 610
"278" 14 142 "NL" "M" 5 1 56 2 3 128 12 610
"279" 14 142 "NL" "M" 6 0 22 2 3 128 12 610
"280" 14 142 "NL" "M" 7 1 19 2 3 128 12 610
"281" 14 142 "NL" "M" 8 1 31 2 3 128 12 610
"282" 14 143 "NL" "M" 9 1 60 3 3 89 12 610
"283" 14 143 "NL" "M" 10 1 11 3 3 89 12 610
"284" 14 143 "NL" "M" 11 0 8 3 3 89 12 610
"285" 14 143 "NL" "M" 12 1 10 3 3 89 12 610
"286" 14 144 "NL" "M" 13 1 135 4 3 224 12 610
"287" 14 144 "NL" "M" 14 1 64 4 3 224 12 610
"288" 14 144 "NL" "M" 15 1 25 4 3 224 12 610
"289" 14 144 "NL" "M" 16 NA NA 4 3 224 12 610
"290" 14 145 "NL" "M" 17 NA NA 5 NA NA 12 610
"291" 14 145 "NL" "M" 18 NA NA 5 NA NA 12 610
"292" 14 145 "NL" "M" 19 NA NA 5 NA NA 12 610
"293" 14 145 "NL" "M" 20 NA NA 5 NA NA 12 610
"294" 14 146 "NL" "M" 21 NA NA 6 NA NA 12 610
"295" 15 151 "NL" "M" 1 0 530 1 1 1147 2 1201
"296" 15 151 "NL" "M" 2 1 305 1 1 1147 2 1201
"297" 15 151 "NL" "M" 3 0 173 1 1 1147 2 1201
"298" 15 151 "NL" "M" 4 0 139 1 1 1147 2 1201
"299" 15 152 "NL" "M" 5 1 54 2 1 54 2 1201
"300" 15 152 "NL" "M" 6 NA NA 2 1 54 2 1201
"301" 15 152 "NL" "M" 7 NA NA 2 1 54 2 1201
"302" 15 152 "NL" "M" 8 NA NA 2 1 54 2 1201
"303" 15 153 "NL" "M" 9 NA NA 3 NA NA 2 1201
"304" 15 153 "NL" "M" 10 NA NA 3 NA NA 2 1201
"305" 15 153 "NL" "M" 11 NA NA 3 NA NA 2 1201
"306" 15 153 "NL" "M" 12 NA NA 3 NA NA 2 1201
"307" 15 154 "NL" "M" 13 NA NA 4 NA NA 2 1201
"308" 15 154 "NL" "M" 14 NA NA 4 NA NA 2 1201
"309" 15 154 "NL" "M" 15 NA NA 4 NA NA 2 1201
"310" 15 154 "NL" "M" 16 NA NA 4 NA NA 2 1201
"311" 15 155 "NL" "M" 17 NA NA 5 NA NA 2 1201
"312" 15 155 "NL" "M" 18 NA NA 5 NA NA 2 1201
"313" 15 155 "NL" "M" 19 NA NA 5 NA NA 2 1201
"314" 15 155 "NL" "M" 20 NA NA 5 NA NA 2 1201
"315" 15 156 "NL" "M" 21 NA NA 6 NA NA 2 1201
"316" 16 161 "NL" "F" 1 1 77 1 1 261 12 676
"317" 16 161 "NL" "F" 2 0 35 1 1 261 12 676
"318" 16 161 "NL" "F" 3 0 49 1 1 261 12 676
"319" 16 161 "NL" "F" 4 0 100 1 1 261 12 676
"320" 16 162 "NL" "F" 5 1 72 2 3 139 12 676
"321" 16 162 "NL" "F" 6 1 24 2 3 139 12 676
"322" 16 162 "NL" "F" 7 1 16 2 3 139 12 676
"323" 16 162 "NL" "F" 8 0 27 2 3 139 12 676
"324" 16 163 "NL" "F" 9 1 37 3 4 65 12 676
"325" 16 163 "NL" "F" 10 1 11 3 4 65 12 676
"326" 16 163 "NL" "F" 11 1 7 3 4 65 12 676
"327" 16 163 "NL" "F" 12 1 10 3 4 65 12 676
"328" 16 164 "NL" "F" 13 1 87 4 4 192 12 676
"329" 16 164 "NL" "F" 14 1 65 4 4 192 12 676
"330" 16 164 "NL" "F" 15 1 17 4 4 192 12 676
"331" 16 164 "NL" "F" 16 1 23 4 4 192 12 676
"332" 16 165 "NL" "F" 17 NA NA 5 0 19 12 676
"333" 16 165 "NL" "F" 18 NA NA 5 0 19 12 676
"334" 16 165 "NL" "F" 19 0 19 5 0 19 12 676
"335" 16 165 "NL" "F" 20 NA NA 5 0 19 12 676
"336" 16 166 "NL" "F" 21 NA NA 6 NA NA 12 676
"337" 17 171 "NL" "M" 1 0 104 1 0 280 6 797
"338" 17 171 "NL" "M" 2 0 80 1 0 280 6 797
"339" 17 171 "NL" "M" 3 0 52 1 0 280 6 797
"340" 17 171 "NL" "M" 4 0 44 1 0 280 6 797
"341" 17 172 "NL" "M" 5 1 86 2 3 315 6 797
"342" 17 172 "NL" "M" 6 0 121 2 3 315 6 797
"343" 17 172 "NL" "M" 7 1 33 2 3 315 6 797
"344" 17 172 "NL" "M" 8 1 75 2 3 315 6 797
"345" 17 173 "NL" "M" 9 1 26 3 3 202 6 797
"346" 17 173 "NL" "M" 10 1 113 3 3 202 6 797
"347" 17 173 "NL" "M" 11 0 33 3 3 202 6 797
"348" 17 173 "NL" "M" 12 1 30 3 3 202 6 797
"349" 17 174 "NL" "M" 13 NA NA 4 NA NA 6 797
"350" 17 174 "NL" "M" 14 NA NA 4 NA NA 6 797
"351" 17 174 "NL" "M" 15 NA NA 4 NA NA 6 797
"352" 17 174 "NL" "M" 16 NA NA 4 NA NA 6 797
"353" 17 175 "NL" "M" 17 NA NA 5 NA NA 6 797
"354" 17 175 "NL" "M" 18 NA NA 5 NA NA 6 797
"355" 17 175 "NL" "M" 19 NA NA 5 NA NA 6 797
"356" 17 175 "NL" "M" 20 NA NA 5 NA NA 6 797
"357" 17 176 "NL" "M" 21 NA NA 6 NA NA 6 797
"358" 18 181 "FR" "M" 1 1 46 1 2 125 15 654
"359" 18 181 "FR" "M" 2 1 45 1 2 125 15 654
"360" 18 181 "FR" "M" 3 0 18 1 2 125 15 654
"361" 18 181 "FR" "M" 4 0 16 1 2 125 15 654
"362" 18 182 "FR" "M" 5 1 54 2 4 124 15 654
"363" 18 182 "FR" "M" 6 1 23 2 4 124 15 654
"364" 18 182 "FR" "M" 7 1 23 2 4 124 15 654
"365" 18 182 "FR" "M" 8 1 24 2 4 124 15 654
"366" 18 183 "FR" "M" 9 1 29 3 3 80 15 654
"367" 18 183 "FR" "M" 10 1 21 3 3 80 15 654
"368" 18 183 "FR" "M" 11 0 20 3 3 80 15 654
