1ce,5,5,2.5,2.5,2.5,3,1,1,2.5,3,1,0.5,2,1.5,3,2.5,2.5,2,1,1.5,3,2,3,2.5,1.5,1.5,3,2,3,2,0.5,0,5,5,17,17
1ce,4.5,4.5,5,4.5,3,3,6,5,4,3.5,1,1,6,5,5,5,3,3,3,2.5,3,2.5,3,2,2,2,3,2,3,3.5,2,1.5,4.5,5,20,20
1ce,4,4,4.5,4,3,3,2,1.5,3.5,3,1,1,3,3,3,3,3,2.5,2.5,2,2,3.5,1.5,1,1.5,1.5,1.5,1,2,1.5,1,1,6,0,15,15
1ce,4.5,4,4.5,4.5,3,3,0,0,4,3.5,0,1,6,4,5,4.5,4,3.5,4,4.5,2,3.5,4,1,0.5,0.5,1.5,1.5,0.5,1,0,0,0,0,13,13
1ce,4.5,4.5,3.5,4,2,2,0,0,4,3.5,1,1,0,0,0.5,0,4,4,3,2.5,0.5,0,0.5,1,2,2,2,1,1?,1,0,0,6,4.5,11,11
1ce,5,5,4,4,3,2.5,0,0,3,3,0,0,3,1.5,0,0,2,2,3,2,2,1.5,2.5,0.5,1,1,0.5,0,2,1,0,0,4.5,3.5,12,12
1ce,5,5,2.5,2.5,3,2,2,2,2,1,0,0,0,0,5,4,0,0.25,2,2,2,2.5,1,0.5,1.5,1.5,3,2.5,3,2,0,0,6,6,13,13
1ce,5,5,5,4,3,2.5,4,3,3.5,2,1,1,4,4,5,5,3.5,2.75,1.5,1,2,1,2.5,2.5,2,2,3,1.5,5,6,0.5,0,6,6,18,18
1ce,5,5,5,5,3,3,5,5.5,3,4,1,0.5,6,5,7,6,4,3.5,3,3,5,4.5,0,0,1.5,2,3,3,6,5,1.5,1,6,5,16,16
1ce,4.5,5,5,5,3,2.5,6,7,4,3.5,1,1,6,4,8,6,4,4,5,5,6,5,3,1.5,2,2,3,3,5,5,0,0,4.5,4.5,20,20
1ce,5,4.5,5,5,3,2.5,5,5,4,3.5,1,1,4,4,5,3,4,4,4,5,6,5,5,5,2,2,3,3,5,4,2,2,6,5,14,14
1ce,4,4,5,4,0,0,1,1.5,4,4,1,1,1,1,3,3,4,3.25,3,2,0.5,0.5,2.5,1.5,2,2,3,2,1,1,0,0,4.5,4,12,12
1ce,5,5,5,5,2,1.5,1,0,3,3,1.5,1.5,1,2.5,5,4,3.5,3.5,5,5,5,3.5,0,0,2,2,3,2.5,4,2,1,1,0,0,19,19
1ce,5,5,5,4.5,3,3,3,1,4,4,2,1,6,5.5,6,5,3.5,3.5,4,3.5,6,5,5,3,2,2,3,3,5,6,0,0,6,6,18,18
1ce,5,5,4,5,2,2,0,2,3.5,3,1,1,6,3,5,2.5,4,4,4,4,6,4.5,4,3,2,2,3,2,2,2,0,0,6,5.5,18,18
1ce,4.5,4.5,5,3,1.5,3,0,0,3.5,3,0.5,0,3,3,5,4,2.5,2,2,1.5,1,1,0,0,2,2,3,3,1,1,0,0,6,5,14,15
