2cf,5,5,4,5,2,2,4,6,3,3.5,1,1,4,5,6,7,4,4,2,4,4,3.5,2,3,2,2,3,3,5,4,0,0.5,6,6,19,19
2cf,5,5,4,4,2,3,7,5,3,2,1.5,1.5,4,3,6,4,4,4,4,4,4,4.5,1,1.5,2,2,3,3,4,4,0,0,6,6,18,18
2cf,5,4.5,5,5,3,3,0,0.5,2,0,1,0.5,2,1.5,3,5,4,4,3,1,2,0,0,0,2,2,3,1.5,0,0.5,0,0,0,0,17,17
2cf,5,5,4,4,1.5,2,6,7,2,4,0,0.5,3,2.5,5,7.5,4,4,4,3,5,2.5,4,4,2,2,3,1.5,2,3,0,0,2,1.5,16,16
2cf,4,4.5,4.5,4.5,3,3,3,3,3.5,4,0,0,4,3,5,6,4,4,4,4,5,4.5,4,4.5,2,2,3,1.5,6,6,0,0,6,6,17,17
2cf,5,5,4,4,3,3,0,1.5,4,3.5,0,0,0,0,2,2,4,4,2,2,3,2,0,0.5,1,2,0,0,2,3,0,0,4.5,4.5,15,16
2cf,5,5,5,5,3,3,2,3,4,3.5,1.5,1,4,1.5,6,5,4,4,3,3,5,3,0,1,2,2,3,1.5,6,7,2,2,6,6,17,17
2cf,2,2.5,5,4,2.5,3,1,2,3,3.5,0,0,2,0.5,5,4,4,4,4,2,5,3,4,4.5,2,2,3,1.5,2,2.5,0,0,1.5,1.5,14,14
2cf,4,4,3,3.5,0,0,0,0,3,4,0,0.5,0,0,0,0,1.5,1.5,2,1,2,2,0,0,1.5,1.5,3,1.5,1,1,0,0,0,0,10,10
2cf,5,4,4.5,4,2,2,0,0,4,3.5,1,1,0,0,5,5,4,4,5,3,4,2,4,5,2,2,3,1.5,2,1,0,0,0,0,15,14
2cf,5,5,4.5,5,1.5,2,4,6,3,3,2,1.5,0,0,5,3,1.5,1.5,1,0,2,2,0,0,1.5,1.5,0,1.5,1,2.5,0,0,6,6,17,17
2cf,5,5,4,3.5,1.5,3,0,0,3.5,4,1,0,1,0,5,5,4,4,4,4,5,3.5,0,1.5,2,2,3,2.5,1,1,0,0,4.5,4.5,14,14
2cf,4.5,4.5,5,3.5,3,3,0,2,3.5,3.5,1,1,4,1.5,6,6,4,4,4,2,5,4,3,3.5,2,2,3,3,1,3,1,1,4.5,6,14,14
2cf,4,4,4,4,1,3,0,0,0,0,0,0,0,0,5,5,2.5,2.5,2,1,4,2.5,0,0,2,2,3,1.5,1,2,0,0,6,6,15,14
2cf,3.5,3.5,4,5,3,3,4,7,3.5,3.5,0,0.5,4,2,6,8,0,0,1,1,0,0.5,0,0,2,2,3,3,1,2,0,0,6,6,19,19
2cf,4,3,4,3.5,1,3,0,1,0,1.5,0,0,1,0,0,1,1.5,1.5,4,3,3,0.5,0,0,0.5,0.5,0,1.5,0,1,0,0,0,0,8,8
