1fg,4.5,4.5,4,3.5,3,3,4,3.5,3.5,3.5,1,1,4,1,6,5.5,3,6,3,3,3.5,4,3,2.5,1.5,1.5,3,3,2,0.5,0,0,3,3,17,17
1fg,4.5,4.5,5,4.5,3,3,5,5,3,3,0.5,0.5,4.5,4,5,5,1.5,1,2.5,2,2,1.5,1,0.5,1.5,1.5,3,2,2,1.5,0,0,5,5,15,15
1fg,5,5,5,4.5,2.5,3,0,5,3,3,0.5,0.5,0,4,5,1,3.5,3,4,4,4,4,1.5,0.5,1.5,1.5,3,2.5,0,0,0,0,2,2,11,11
1fg,4.5,5,5,4.5,2.5,2.5,3,3,3.5,4,0.5,1.5,3,1.5,7,5,4,3.5,4,4,5,4,1,0,2,2,3,2.5,3,1.5,1,1,4,3,17,17
1fg,4,5,5,5,3,3,4,3,3,3.5,0,0,4,2,6,5,4,4,4,3.5,4,4,5,3.5,2,2,3,2.5,1,2,0,0,3,6,13,13
1fg,5,5,5,5,3,3,7,6,4,4,0.5,0.5,3,1.5,7,6,4,4,2,2,3,3,5,7,1.5,1.5,0,0,0,0.5,0,0,4.5,4.5,19,19
1fg,5,5,5,5,1.5,1.5,6,6,4,4,0,0.5,4,3,7,6,4,4,4,3,4,4.5,3,4.5,2,2,3,2,3,5.5,2,2,5,2.5,16,16
1fg,3.5,5,4,4.5,2,3,1,1,3,3.5,1.5,1.5,5,4,5,4,1.5,1.5,3,3,4,3,0,0,1,1,3,3,2,2,0,0,1.5,1.5,16,16
1fg,0,0,0,0,1,2.5,2,0,2,2,0,0,0,0,5,2,3,3,5,3,4,5,4,2.5,1.5,1.5,3,2,0,0,0,0,4.5,3,14,14
1fg,5,5,5,5,3,3,0,1,4,4,0,0.5,4,3,7,5,4,4,4.5,4,4,3.5,0,0,2,2,3,3,2,3,2,2,4.5,6,16,16
1fg,5,5,5,5,3,3,1,2.5,4,3.5,1,1,6,2,6,4,2,2,4,1,3,3,2,0,2,2,3,2,0,0,0.5,0.5,5.5,6,13,13
1fg,5,5,4,3.5,3,1.5,7,5.5,3,4,1,1,4,1.5,7,5,3,4,4,4,3,5,0,0,2,2,3,3,1,2.5,2,2,6,6,16,17
1fg,0,0,0,0,2,2,1,5,1,0,0.5,0,0,0,3,2.5,0,0,0,0,0,0,0,0,0.5,1,2,1,0,0,0,0,0,0,6,6
1fg,5,5,4,4,3,2.5,3,5,2,4,0,0,4,2.5,7,7,4,4,5,2.5,5,4.5,5,4,2,2,3,2.5,3,2,0,0,6,6,13,13
1fg,3,4,3,2.5,3,1.5,1,3.5,2.5,2,1,1,4,3.5,6,5.5,4,4,5,2.5,4,4,2.5,1,1.5,1.5,3,2.5,3,3,0,0,2,1,15,14
1fg,4.5,5,5,4.5,2.5,2.5,2,1,4,4,1.5,1,4,3.5,5,4.5,3,3,4,2,2,2,0,0,2,2,3,2.5,1,1,0,0,6,5,9,10
