1ef,4.5,4.5,5,3,2.5,2,5,2.5,3.5,3,0.5,1,2,2.5,2,4,0.5,0.75,3,3.5,4,1.5,2,2,2,2,3,2,2,1,0,0,5.5,4,12,12
1ef,0,0.5,1.5,1,2.5,3,5,3,4,3,1,1.5,1,0,2,3,0,0,3.5,3.5,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,11,11
1ef,3.5,3,1.5,0,3,3,5,4.5,4,4,1,1,2,2,5,5,1.5,1.5,4,4,4,2.5,0.5,0.5,2,1.5,2.5,3,4,2,0,0,5.5,4,13,13
1ef,4,5,4.5,4,3,2,0,0,3,2,0,0,2,3,5,5,1.5,1.5,2.5,3,3,4,0,0,2,1.5,2.5,1.5,4,3,0,0,0,0,11,11
1ef,4,3.5,4.5,3,2.5,2,0,0,4,3.5,2,1.5,0,0,4,4,0,0.5,2.5,2.5,3,2,1,0.5,2,2,2.5,2,2.5,2.5,0,0,5,5.5,14,14
1ef,5,5,5,5,3,2,4,3.5,4,3.5,1.5,1,5.5,5,5.5,5.5,4,4,4,3.5,4.5,4.5,2,1.5,2,1.5,2,1.5,3,3,0,0,4,3,20,20
1ef,5,5,5,4.5,2.5,3,7,7,4,3.5,1,1,2,1.5,8,6,4,4,5,5,6,4,5,5,2,2,3,3,3,2.5,2,2,6,6,19,19
1ef,4,4,4,2.5,2,2,4,2.5,2.5,2,0,1,3.5,2,0,1.5,2.5,2.5,4,4.5,1,1.5,1.5,0,2,2,0,1.5,2,2,0.5,0,6,6,17,17
1ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ef,5,5,5,5,3,3,2,2,4,2.5,1.5,1,3,3.5,3,5,4,4,3,3.5,3,2,2,0.5,2,2,3,3,3,1.5,2,2,5.5,5,15,15
1ef,5,5,5,5,3,3,5,4,4,2.5,1,1,3,1.5,5.5,4,4,3.5,1,2,3.5,3.5,0,0,2,2,2.5,3,0,0,0,0,5,5,18,18
1ef,3.5,3.25,0,0.5,0,0,0,0,3,2,0.5,1,0,0,0,0,1.5,1,2,2,1,1,0,0,1,1,1,1.5,2,0,0,0,2,1,11,11
1ef,0,0.25,0,0,0.5,1,1,1,3,2,1.5,2,4,1,0,1,2,2.5,0.5,1.5,1,0,0,0,2,2,2,1.5,3,2.5,0,0,0,0,10,10
1ef,2.5,2,5,3,0,0,1,1,2,1.5,0.5,1,0,0,1,2.5,1.5,1.5,2,3,1,1.5,2,2,1.5,1.5,3,3,1,1.5,0,0,4,4,12,12
1ef,4.5,4.5,5,5,1.5,2,3,3,4,3.5,1,0.5,4.5,4.5,6,6,4,4,3,3.5,4.5,4.5,4,4,2,2,2.5,2,2.5,2.5,1,0,4.5,5.5,18,18
1ef,5,5,4,4,1.5,2,0,0.5,3,2,0.5,0.5,1.5,1,1,1,3.5,3.5,0,0,0,0,0,0,1,1,2.5,0.5,0,0,0,0,0,0,13,13
