V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2.84799086871953,2.84829667362361,2.8481991211711,2.84900498209154,2.8479915873276,2.84834717016143,2.84718999452389,2.84785791667075,2.84859435944012,2.84919502591714
3.29023104331813,3.29017799235403,3.29017509156358,3.29119723450641,3.29041633990925,3.29012041318055,3.28985519963497,3.29118771048553,3.29046511884057,3.29033966458947
2.95880219845545,2.95698075864396,2.95734864378988,2.95926950358972,2.95703254351217,2.95899085944955,2.95777916543583,2.95776207434717,2.95743746225063,2.95816572314264
3.2926925292633,3.29166909599019,3.29274780961177,3.29393231905658,3.29212506500906,3.2926261764862,3.29339777393536,3.29345205782896,3.29227616719442,3.29248995596233
2.64293128302151,2.64081520731971,2.6415227306925,2.64296085965265,2.64042154199597,2.64189525636876,2.64150669770738,2.64164856191522,2.64195598234101,2.64294112564273
3.19916371050936,3.1980773392039,3.19893177730615,3.1997226276122,3.19895745667838,3.19885306063245,3.19791649660936,3.19851000527973,3.19807224403405,3.19972679678381
3.36215087682885,3.36107028661607,3.36206236003665,3.36266608322874,3.36197185827161,3.36171925048133,3.36063786866543,3.36269341273343,3.36125598005207,3.36195685427739
3.32385618250145,3.32264905637623,3.32389155552388,3.32532450589651,3.32349185607006,3.32253130477277,3.32194197472364,3.32395224431422,3.3220737693212,3.3242300633057
3.51526733405511,3.51639641238062,3.51472702605603,3.51637047831146,3.51613981894384,3.51712104334175,3.51526014320511,3.51509165361777,3.51674286129671,3.51570841232367
3.50098904104806,3.50179753002895,3.50209782182906,3.50250563471426,3.50103463824772,3.50111149101458,3.5007031806961,3.50099839228456,3.50152502807872,3.50181372065557
3.71355743654697,3.7125458332088,3.71373184741391,3.71472200997875,3.71307489584086,3.71293895444255,3.71243459790685,3.71321995742547,3.71371409784397,3.71362935268935
3.57852102109318,3.57552336979692,3.57687026571435,3.57741089586233,3.57649427090949,3.57698858838885,3.57653058809672,3.57732303498084,3.57718201646035,3.57766497265556
2.56551343459053,2.53886417252179,2.5507231073731,2.55153372301472,2.54831141480499,2.55138916006892,2.54935076710092,2.55544182373283,2.5536773752432,2.56084003416073
2.6840097474453,2.67955158467806,2.68951070207042,2.6783034563403,2.68740458357436,2.68873549826333,2.69483760721544,2.68236211984548,2.69487201115013,2.68479882407575
2.29431071176288,2.2869685879345,2.28383622869986,2.29170336865443,2.27805357426188,2.28019775134024,2.28716470085507,2.28340494529172,2.29539657934204,2.28249108587045
3.55606044298039,3.52179293941229,3.55808470014623,3.53881101818584,3.53021765736771,3.52281105940559,3.50619501900184,3.53103501288259,3.52433689878672,3.53860060955798
3.47180301327757,3.48628655551383,3.46457846327824,3.47907024369623,3.47543909015176,3.4564536756264,3.46879436903097,3.46704352030832,3.4736352740304,3.47901513824767
