1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 ts_kode 0 0 NA NA NA NA NA NA NA NA
3 ts_stor 0 0 1 9 3.24 3 2.37 1.54 -0.1 -0.89
4 areal 4680901 100 Inf -Inf NaN NA NA NA NaN NaN
