"","teaching_1","teaching_2","teaching_3","teaching_4","teaching_5","teaching_6","teaching_7","teaching_8","teaching_9","teaching_10","worklife_1","worklife_2","worklife_3","worklife_4","worklife_5","worklife_6","worklife_7","worklife_8","worklife_9","worklife_10","lifelong_1","lifelong_2","lifelong_3","lifelong_4","lifelong_5","lifelong_6","lifelong_7","lifelong_8","lifelong_9","lifelong_10","lifelong_11","lifelong_12","digital_1","digital_2","digital_3","digital_4","digital_5","digital_6","digital_7","digital_8","digital_9","digital_10","digital_11","digital_12"
"lifelong_11",0.36924241194292,0.360484939464172,0.372888566321074,0.493722037713484,0.37807891557405,0.406224835395005,0.333848101016045,0.346118249793257,0.350655426962026,0.439454698219343,0.260204323866492,0.236557132763531,0.35796775226646,0.339705539240716,0.403517396375147,0.251168768596779,0.290152645792311,0.156236409927617,0.266600381002669,0.188992379613316,0.422922986309045,0.400571880175458,0.509638701751547,0.432263670785772,0.455568756424458,0.45163452613669,0.541712173919998,0.503874895945717,0.538494978013852,0.483711349099155,1,0.619793259969361,0.315942152154785,0.327708699104448,0.343508039950804,0.358923187073224,0.349929411076891,0.400443963484725,0.352730070834981,0.306603112915761,0.418977723916873,0.322557767845486,-0.131223328719712,-0.0481473563942594
"lifelong_12",0.434567887670519,0.483182118906633,0.449265057228868,0.555298938874812,0.472825308857573,0.501386281655446,0.456961704073455,0.384569274433324,0.415296249066387,0.557896127962137,0.291398921910166,0.275784910507504,0.3690253495867,0.390020550786348,0.409274326010118,0.294693196528711,0.341383731685985,0.268523290953895,0.315838893181882,0.121381610943917,0.409300993103535,0.412977084310353,0.526426611580155,0.471051394760865,0.51241540861951,0.551373847791894,0.553981218838165,0.512415649542947,0.53558000632584,0.461243960911469,0.619793259969361,1,0.37604055521227,0.401352966790678,0.443846588088641,0.469263253889024,0.434824541322073,0.492208834454857,0.340793116839233,0.328151787044057,0.460399958248958,0.363782857108342,-0.17961986995408,-0.128218822899032
"digital_1",0.411338947159228,0.481440261178888,0.439696831839792,0.413184827186034,0.439064268685796,0.450810011700164,0.445847635451734,0.40142194115609,0.395183358010471,0.464159638186084,0.233541832308886,0.295939613766318,0.310645662467106,0.257613491142352,0.325653598496159,0.363128020901883,0.373570676081875,0.410313238842272,0.279283365891688,0.201363996281227,0.270587279041169,0.255458445645864,0.335342818125602,0.381726482103786,0.330258249127898,0.398351253785228,0.419312962136502,0.364937620888061,0.291324223586731,0.230219466017865,0.315942152154785,0.37604055521227,1,0.781232470442008,0.715637982142656,0.586851339567079,0.49834127630002,0.49698308431994,0.373024276677914,0.388133235231649,0.508891892450525,0.584025767098425,-0.313022430657736,-0.347535345386326
"digital_2",0.400539206852115,0.47373084045533,0.437304950148571,0.409047883436724,0.447974269781569,0.449442789987133,0.432315766084637,0.384329946768912,0.350101885284421,0.483858338955645,0.203471593434199,0.247851798708811,0.290354869352445,0.240517968537541,0.349055776873011,0.361697861887795,0.381725796257841,0.372109392584265,0.303961867100141,0.154581195953579,0.280064707745873,0.283084629787908,0.337335265026271,0.388837688636106,0.336421843596282,0.37739079300105,0.392979867081712,0.38159437048167,0.294091020521825,0.268722358441632,0.327708699104448,0.401352966790678,0.781232470442008,1,0.795449085200772,0.636493521420508,0.536636590862514,0.520957903262988,0.443857310620221,0.394728371040952,0.507611371341801,0.642299911243398,-0.327064237554923,-0.40741553246224
"digital_3",0.433998765783681,0.481839882688387,0.465295936106647,0.4701537853488,0.441842262953923,0.487153880859214,0.510391306500295,0.428093990210145,0.422745119883765,0.508240413433843,0.233841502095499,0.310113449729743,0.304177844804095,0.310476437688407,0.394962874329444,0.424064585683909,0.465942285013777,0.461919698268743,0.359489385135657,0.178625677664262,0.304533437688903,0.330321546693629,0.376607606631519,0.441884073397332,0.387519573730544,0.451857839910789,0.478517577426713,0.391658451103017,0.302852709981776,0.325078715589162,0.343508039950804,0.443846588088641,0.715637982142656,0.795449085200772,1,0.694331833834305,0.551511375311172,0.521343073167966,0.463013140232324,0.46066371998787,0.566964138376165,0.6314335393308,-0.32984853918676,-0.369537032229153
"digital_4",0.434534452609782,0.47161841532228,0.462672107342463,0.463300035743329,0.448427029350463,0.470901214829067,0.460037195873592,0.478480913256721,0.467441100308264,0.522597875301717,0.267641906631135,0.35611130903015,0.339047669043542,0.296309594811899,0.375688066295573,0.442580814077033,0.463537368563292,0.480527139823928,0.376828550894783,0.116191223099594,0.298040370936936,0.286131141412889,0.362993580006126,0.506220750379226,0.433389938789738,0.463016777259243,0.474053928509758,0.402506784147688,0.369659669607159,0.333650038893201,0.358923187073224,0.469263253889024,0.586851339567079,0.636493521420508,0.694331833834305,1,0.751001122192975,0.606176175455681,0.444590279843651,0.450970262795806,0.608807655874061,0.54164849783241,-0.307282613416966,-0.335115458031482
"digital_5",0.437214125306243,0.454572413101551,0.486491491376007,0.448976862934159,0.467594537026147,0.496022528706715,0.443851252847141,0.417638387025721,0.410809711396336,0.525707090687931,0.21705129353268,0.303045325097362,0.32373363248288,0.281663105149477,0.386808320760763,0.416761538582875,0.429809277894149,0.434870521008481,0.361301579907563,0.134207599040221,0.292445807654536,0.329742437038145,0.335553884905206,0.53315336307543,0.35721385374983,0.389041071224383,0.396332187299779,0.413594314006073,0.332222393775365,0.344776668521262,0.349929411076891,0.434824541322073,0.49834127630002,0.536636590862514,0.551511375311172,0.751001122192975,1,0.588724440226295,0.438046810252125,0.410252825306804,0.580650097850939,0.530450458750112,-0.270851235848633,-0.283539040748058
"digital_6",0.458381173606657,0.524541512410857,0.49459310773076,0.577096640436872,0.528967767008165,0.512352311791171,0.449877544285617,0.494009653669165,0.480193811658733,0.592314177225097,0.25083196854952,0.305622915036081,0.33708673697744,0.347652303909733,0.4008546748965,0.379410681301647,0.41077718968101,0.364459309216958,0.375916304889483,0.115887461536546,0.314406741060726,0.302008450108651,0.390816748136168,0.630638311293909,0.426394312107322,0.459110215599579,0.459787887975799,0.459073501403823,0.467351425437124,0.371685777606285,0.400443963484725,0.492208834454857,0.49698308431994,0.520957903262988,0.521343073167966,0.606176175455681,0.588724440226295,1,0.507365824395846,0.419026604539848,0.56725093276158,0.498658081464382,-0.274507484577393,-0.270402591702605
"digital_7",0.291415818520203,0.290590640288127,0.32734996458351,0.367374105791945,0.303432389213893,0.334150775650337,0.320810724610532,0.278993090683264,0.26686960968003,0.365262086529771,0.234893066687369,0.312339067335115,0.322409402632607,0.274595128362602,0.323626723581049,0.281839389722905,0.297751546252343,0.188997219546724,0.48229538872694,0.0600734118932228,0.249978992197389,0.261914794027559,0.301304099401867,0.393614661185146,0.369571225102888,0.349249911667284,0.320554445642696,0.359279016237896,0.415359277015118,0.415771284174321,0.352730070834981,0.340793116839233,0.373024276677914,0.443857310620221,0.463013140232324,0.444590279843651,0.438046810252125,0.507365824395846,1,0.549733475628991,0.505522118565367,0.512747283807264,-0.28162423473081,-0.29026061592321
"digital_8",0.338617407418974,0.32413851050657,0.345726172487879,0.362999042310826,0.349270362905786,0.364415389467737,0.372195535346852,0.317331070420834,0.321545329168439,0.337347728032468,0.252956271292028,0.274981660124383,0.317077212077989,0.367720952436036,0.305345100908518,0.287066896906445,0.307090371278176,0.225543667707413,0.399642737842912,0.114141384456092,0.279168782143244,0.284906767407611,0.339523568320179,0.377828201744856,0.374378927187286,0.435698226248868,0.370035322365198,0.323381216348343,0.382138525151451,0.385429690647187,0.306603112915761,0.328151787044057,0.388133235231649,0.394728371040952,0.46066371998787,0.450970262795806,0.410252825306804,0.419026604539848,0.549733475628991,1,0.648253533323227,0.528498593603114,-0.375512815930804,-0.299928986128461
